policy_name,budget,n_runs,distance_mean,distance_median,distance_std,distance_min,distance_max,distance_p25,distance_p75,p_success_mean_mean,step_count_l1_mean,step_count_l1_median,step_count_l1_max
stochastic_normalized_fragility,45,20,5.29298558789536e-05,5.410468406967208e-05,3.818192401317509e-05,2.6973343876948786e-06,0.00014082810804004353,2.437754568560504e-05,7.270922083687853e-05,0.22432211947214326,0.0,0.0,0.0
stochastic_normalized_fragility,90,20,4.661041513968189e-05,4.768621309533786e-05,2.936822845613864e-05,3.7807182229976662e-06,0.0001030224632272874,2.255481916238149e-05,6.284728170059275e-05,0.22300476853599785,15.2,14.0,26.0
stochastic_normalized_fragility,180,20,2.235587516988436e-05,1.8701972117100186e-05,1.638293407199176e-05,3.909541432291009e-06,7.608877116983495e-05,1.2206777528708037e-05,2.8693808388502505e-05,0.22399992333789473,29.5,29.0,40.0
stochastic_normalized_fragility,360,20,1.0748385633614508e-05,6.9068270750875965e-06,9.75196764990799e-06,2.1228482615684344e-06,4.209036773428292e-05,4.822327653941948e-06,1.3054022511498903e-05,0.22425473469973628,45.6,48.0,62.0
stochastic_normalized_fragility,720,20,5.53599276655152e-06,4.75446590899707e-06,3.140012497122513e-06,1.1670065136220396e-06,1.1823273596471723e-05,3.161616697221267e-06,7.661522878836894e-06,0.22462994278965248,71.1,74.0,100.0
stochastic_normalized_fragility,1200,20,3.5675603406394735e-06,2.3387003140618845e-06,3.7043847494058267e-06,6.703734380005571e-07,1.4586163414880039e-05,1.5472422430811005e-06,3.5181001082871304e-06,0.2247255952598725,97.7,100.0,144.0
stochastic_normalized_fragility,1798,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22470484448919711,0.0,0.0,0.0
uniform_step_balanced,45,20,5.29298558789536e-05,5.410468406967208e-05,3.818192401317509e-05,2.6973343876948786e-06,0.00014082810804004353,2.437754568560504e-05,7.270922083687853e-05,0.22432211947214326,0.0,0.0,0.0
uniform_step_balanced,90,20,2.7915554895910453e-05,2.3864033496624407e-05,2.1324554576119346e-05,3.2175782161492634e-06,6.786466564438413e-05,9.10895104666887e-06,4.033605414550329e-05,0.22361431688851705,0.0,0.0,0.0
uniform_step_balanced,180,20,1.55832694551679e-05,1.0651876129655289e-05,1.82676529818455e-05,3.2136018872098285e-06,8.771736832287152e-05,5.814874076641714e-06,1.862430716927483e-05,0.22393398121110275,0.0,0.0,0.0
uniform_step_balanced,360,20,1.0631179214796117e-05,6.856474282747553e-06,9.894156612227112e-06,1.458519221619214e-06,4.288956366975338e-05,4.977772066899789e-06,1.6377051546949437e-05,0.22385178251953697,0.0,0.0,0.0
uniform_step_balanced,720,20,5.7184165144857765e-06,4.708311831372289e-06,3.8445831262767125e-06,1.0979798613923472e-06,1.3780892301375856e-05,2.7258477620196152e-06,8.136388280164805e-06,0.2245554737822047,0.0,0.0,0.0
uniform_step_balanced,1200,20,2.9931265533895414e-06,2.4414855923908672e-06,1.9265971054214966e-06,8.112249057608255e-07,8.11134885246694e-06,1.6896396770149066e-06,3.75253400768622e-06,0.22479725445785745,0.0,0.0,0.0
uniform_step_balanced,1798,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22470484448919711,0.0,0.0,0.0
