policy_name,budget,n_runs,distance_mean,distance_median,distance_std,distance_min,distance_max,distance_p25,distance_p75,p_success_mean_mean,step_count_l1_mean,step_count_l1_median,step_count_l1_max
epsilon_greedy_eps0.2,45,30,4.994846867156529e-05,4.6291629793680336e-05,3.570152585498149e-05,2.6973343876948786e-06,0.00014082810804004353,2.4054123116245277e-05,7.234026798339375e-05,0.2251829989501882,0.0,0.0,0.0
epsilon_greedy_eps0.2,90,30,6.066484039177893e-05,5.646348307312654e-05,4.185825351591285e-05,3.712151176751528e-06,0.00016733069102803702,2.32365458015901e-05,8.643757694061285e-05,0.22395994717531778,43.333333333333336,44.0,60.0
epsilon_greedy_eps0.2,135,30,4.859540640602788e-05,3.607313682248618e-05,3.941530054376476e-05,4.714248006857678e-06,0.0001565330434281481,2.2337493109910475e-05,6.440097048704963e-05,0.22406517453698935,69.0,69.0,104.0
epsilon_greedy_eps0.2,180,30,2.9540659034071505e-05,2.513003199383887e-05,2.492223868908032e-05,1.1490299543492526e-06,9.996558107382081e-05,1.0241772411609517e-05,3.3792646418119896e-05,0.22405616632748118,87.73333333333333,89.0,134.0
epsilon_greedy_eps0.2,225,30,2.1492092258135905e-05,1.684723122354269e-05,1.727025796502646e-05,3.434407114877433e-06,7.626674300547471e-05,8.03494873264699e-06,2.9571484844035897e-05,0.22360724268307047,123.26666666666667,124.0,158.0
epsilon_greedy_eps0.2,270,30,1.686807599134245e-05,1.2770458392688248e-05,1.4527485308805885e-05,1.6494394363459477e-06,6.319675585054124e-05,6.7579297244784685e-06,2.0192537275661365e-05,0.22386821841321622,154.8,153.0,192.0
epsilon_greedy_eps0.2,315,30,1.605290201936915e-05,1.1087694753894562e-05,1.704489436587653e-05,1.7756957294369319e-06,8.956973154058281e-05,5.801522052470373e-06,1.8336944729732102e-05,0.22444465698776164,179.06666666666666,182.0,240.0
epsilon_greedy_eps0.2,360,30,1.420899499767838e-05,9.869162998014943e-06,1.3220694489495389e-05,2.448863558736232e-06,6.0085307513854934e-05,5.836180170467706e-06,1.6601220969046364e-05,0.22486835801580382,208.6,206.0,294.0
epsilon_greedy_eps0.2,405,30,1.2284036231359152e-05,7.208864219077567e-06,1.324470193341514e-05,1.259157493111515e-06,5.811607212203401e-05,4.30559479449095e-06,1.6783005567962488e-05,0.22508168858842612,235.4,227.0,342.0
epsilon_greedy_eps0.2,450,30,1.2160281491953982e-05,1.112249679729008e-05,8.561962538627733e-06,1.7907326023187673e-06,3.334640389462368e-05,4.351537335008116e-06,1.8025990660657705e-05,0.22496313652767608,265.06666666666666,264.0,360.0
epsilon_greedy_eps0.2,495,30,1.1178131403579619e-05,9.324127401158844e-06,8.233517737865315e-06,1.5705806944998722e-06,3.3607653654481404e-05,5.298940065738296e-06,1.4243706762747435e-05,0.22453459663446845,294.53333333333336,293.0,396.0
epsilon_greedy_eps0.2,540,30,9.16118329861238e-06,7.873627850230997e-06,6.064624381371021e-06,1.7042342328905802e-06,2.5861403770919462e-05,3.7223983682519874e-06,1.3300301456448059e-05,0.22444075751020934,318.1333333333333,324.0,406.0
epsilon_greedy_eps0.2,585,30,9.856155655660631e-06,6.599363857110778e-06,9.399571723699393e-06,1.7752767122426874e-06,4.096066911691969e-05,4.213443599877084e-06,1.0875518740045187e-05,0.22458550624521306,344.93333333333334,354.0,438.0
epsilon_greedy_eps0.2,630,30,9.03246689252639e-06,6.876769070626428e-06,7.455879871207088e-06,7.708771526386629e-07,3.6689729458599604e-05,3.7884070489535026e-06,1.3338740066143133e-05,0.22437927341811723,376.53333333333336,384.0,484.0
epsilon_greedy_eps0.2,675,30,7.606523882680616e-06,5.312059069940234e-06,5.366601901204478e-06,8.461948717537284e-07,2.0990253793140387e-05,4.277243700533657e-06,1.1216459778224535e-05,0.22463807105382108,402.1333333333333,403.0,522.0
epsilon_greedy_eps0.2,720,30,8.309916841049661e-06,7.967348873901573e-06,4.45318623712017e-06,2.1318221850476994e-06,1.912077031144311e-05,4.588716197651751e-06,1.0980755712831654e-05,0.22477307111151656,413.8666666666667,419.0,544.0
epsilon_greedy_eps0.2,765,30,8.116506519791874e-06,6.198282160746851e-06,5.813522611122844e-06,1.1684537966325898e-06,2.2529122776111747e-05,4.504230727321938e-06,9.20577347505348e-06,0.224179801716256,419.8666666666667,415.0,520.0
