policy_name,reveal_seed,auc_distance,mean_distance_across_budgets
stochastic_normalized_fragility,1111,0.009068020511226385,1.2812473231844862e-05
stochastic_normalized_fragility,1212,0.010392677807095218,1.8092447934499126e-05
stochastic_normalized_fragility,1313,0.023472266241977503,3.865385769493507e-05
stochastic_normalized_fragility,1414,0.015453004467473443,3.425739013507197e-05
stochastic_normalized_fragility,1515,0.011118573477271953,2.321028572893942e-05
stochastic_normalized_fragility,1616,0.013638995207969962,2.2507421130635277e-05
stochastic_normalized_fragility,1717,0.007615534966548807,8.03195648616561e-06
stochastic_normalized_fragility,1818,0.015552402729207626,2.683230167747208e-05
stochastic_normalized_fragility,1919,0.01772470636358636,1.5117778373814834e-05
stochastic_normalized_fragility,2020,0.009921938401743387,1.1697081887824324e-05
stochastic_normalized_fragility,2121,0.018411800283930274,2.4901208140486435e-05
stochastic_normalized_fragility,2222,0.007109673017952709,8.767326812319358e-06
stochastic_normalized_fragility,2323,0.008492882397481156,1.6755420057827238e-05
stochastic_normalized_fragility,2424,0.02223185456220991,2.7069820665632572e-05
stochastic_normalized_fragility,2525,0.010472381861383799,1.5056008047041096e-05
stochastic_normalized_fragility,2626,0.02066916860365648,2.4885249904396933e-05
stochastic_normalized_fragility,2727,0.012081111342313038,1.269198633187176e-05
stochastic_normalized_fragility,2828,0.01493456001402581,3.349579383402877e-05
stochastic_normalized_fragility,2929,0.01841341073360088,1.3184097480576968e-05
stochastic_normalized_fragility,3030,0.02333031768477737,1.6974622814117256e-05
uniform_step_balanced,1111,0.009861612140035336,1.137015821876603e-05
uniform_step_balanced,1212,0.013260948023792645,1.842022387585146e-05
uniform_step_balanced,1313,0.024981355422110326,3.5598000509934475e-05
uniform_step_balanced,1414,0.017879879056773403,3.377173542281643e-05
uniform_step_balanced,1515,0.009199048334478807,1.8498661456589793e-05
uniform_step_balanced,1616,0.01115980844332495,1.4942571066418978e-05
uniform_step_balanced,1717,0.0088329001787965,8.685698907587944e-06
uniform_step_balanced,1818,0.009314648468348835,1.775773708160249e-05
uniform_step_balanced,1919,0.013085732735178402,1.070133319406875e-05
uniform_step_balanced,2020,0.0051155120706784935,5.862324424823852e-06
uniform_step_balanced,2121,0.012362971710702622,2.2051516260451977e-05
uniform_step_balanced,2222,0.005792671324515204,6.880049550053698e-06
uniform_step_balanced,2323,0.010936734073130951,1.616357464467099e-05
uniform_step_balanced,2424,0.018874310810656693,2.2748083844476297e-05
uniform_step_balanced,2525,0.0043640965954638376,8.29022152626022e-06
uniform_step_balanced,2626,0.007441626030346719,1.218733060545037e-05
uniform_step_balanced,2727,0.013773174718225308,1.1264127758684218e-05
uniform_step_balanced,2828,0.00795966243564795,2.5239870780200388e-05
uniform_step_balanced,2929,0.01765982706993635,1.1351933008964896e-05
uniform_step_balanced,3030,0.019431712868937055,1.8990283612907844e-05
