policy_name,reveal_seed,auc_distance,mean_distance_across_budgets
epsilon_greedy_eps0.2,101,0.00572777147037303,5.744929661175674e-06
epsilon_greedy_eps0.2,202,0.00907076798645532,8.932336687489187e-06
epsilon_greedy_eps0.2,303,0.01248679013721788,1.4288910337653964e-05
epsilon_greedy_eps0.2,404,0.00912066470907698,1.7468086133794073e-05
epsilon_greedy_eps0.2,505,0.03146541377626742,3.4079014329816485e-05
epsilon_greedy_eps0.2,606,0.005664809688730378,1.4857529973664206e-05
epsilon_greedy_eps0.2,707,0.007547044223380816,1.254789356336564e-05
epsilon_greedy_eps0.2,808,0.021675901552357248,1.4385470268811958e-05
epsilon_greedy_eps0.2,909,0.00939394823099682,1.025908822441108e-05
epsilon_greedy_eps0.2,1010,0.009484504526419624,9.002004930137866e-06
epsilon_greedy_eps0.2,1111,0.01104582696626024,1.3488729483469799e-05
epsilon_greedy_eps0.2,1212,0.01837000555318016,2.4551762549483165e-05
epsilon_greedy_eps0.2,1313,0.013204935359410619,2.0242233365311332e-05
epsilon_greedy_eps0.2,1414,0.013211341209370214,2.7455473700987843e-05
epsilon_greedy_eps0.2,1515,0.008986779550143252,1.581062278761347e-05
epsilon_greedy_eps0.2,1616,0.009496255384604626,1.4081577843465137e-05
epsilon_greedy_eps0.2,1717,0.007881757077336736,9.413131438972515e-06
epsilon_greedy_eps0.2,1818,0.00924265915341042,1.7659234590716354e-05
epsilon_greedy_eps0.2,1919,0.015739371674770825,1.1642066969568782e-05
epsilon_greedy_eps0.2,2020,0.009133964782030506,7.4731278369287626e-06
epsilon_greedy_eps0.2,2121,0.01453680009313263,1.9279218730223915e-05
epsilon_greedy_eps0.2,2222,0.003977448836701179,4.584429490863535e-06
epsilon_greedy_eps0.2,2323,0.010291742314194082,1.6486219395547493e-05
epsilon_greedy_eps0.2,2424,0.023703464036339675,2.0587164756026748e-05
epsilon_greedy_eps0.2,2525,0.009033003792579285,1.1071577187206131e-05
epsilon_greedy_eps0.2,2626,0.011634367995218565,1.1304808291233947e-05
epsilon_greedy_eps0.2,2727,0.021153503412486722,1.637373643659746e-05
epsilon_greedy_eps0.2,2828,0.006985150306802998,2.1899299105591594e-05
