policy_name,budget,n_seeds,policy_wins,policy_win_fraction,mean_policy_minus_baseline_distance,median_policy_minus_baseline_distance,mean_relative_difference_policy_minus_baseline
epsilon_greedy_eps0.2,45,30,0,0.0,0.0,0.0,0.0
epsilon_greedy_eps0.2,90,30,4,0.13333333333333333,3.680338568364011e-05,2.8777539968590612e-05,2.9300254154517087
epsilon_greedy_eps0.2,135,30,4,0.13333333333333333,3.0796079661396784e-05,1.5190173037256096e-05,3.5605162187942088
epsilon_greedy_eps0.2,180,30,9,0.3,1.3997545000201764e-05,1.2438076543629325e-05,3.33580066126484
epsilon_greedy_eps0.2,225,30,13,0.43333333333333335,8.448567853790697e-06,1.4279604686225085e-06,1.4042960075928799
epsilon_greedy_eps0.2,270,30,11,0.36666666666666664,7.17389530177803e-06,4.72410418738772e-06,2.3286436193821864
epsilon_greedy_eps0.2,315,30,11,0.36666666666666664,6.347543929554654e-06,3.508744237051741e-06,1.9496603159396242
epsilon_greedy_eps0.2,360,30,14,0.4666666666666667,4.025588461599433e-06,1.9104524712550143e-06,1.008593337946617
epsilon_greedy_eps0.2,405,30,9,0.3,4.379013535734402e-06,2.484243602025203e-06,0.7628827971575849
epsilon_greedy_eps0.2,450,30,7,0.23333333333333334,4.454607046338799e-06,4.329413755310102e-06,1.1547770171846388
epsilon_greedy_eps0.2,495,30,9,0.3,4.428590695904459e-06,2.0776192871477094e-06,1.4224965858500063
epsilon_greedy_eps0.2,540,30,7,0.23333333333333334,3.207344292603712e-06,2.3031764031232444e-06,1.1728399434311718
epsilon_greedy_eps0.2,585,30,7,0.23333333333333334,4.4452222770979615e-06,2.028013109192539e-06,1.010173707265032
epsilon_greedy_eps0.2,630,30,12,0.4,3.6167094976187695e-06,2.3737484849080354e-06,1.3294633621096943
epsilon_greedy_eps0.2,675,30,12,0.4,2.1323430436024656e-06,7.849606851923376e-07,1.2518995371491919
epsilon_greedy_eps0.2,720,30,8,0.26666666666666666,2.5358970420095492e-06,2.009926376264474e-06,0.9629017123774097
epsilon_greedy_eps0.2,765,30,8,0.26666666666666666,2.8868652948710895e-06,2.1571285608082773e-06,1.255606547395973
epsilon_greedy_eps0.2,810,30,6,0.2,3.4677342704098944e-06,2.0245694180077934e-06,1.5407228047783774
epsilon_greedy_eps0.2,855,30,8,0.26666666666666666,2.646217175377814e-06,1.5012733444297386e-06,0.829456997418995
epsilon_greedy_eps0.2,900,30,15,0.5,9.055725447818972e-07,1.4273873152823804e-07,0.5888467635422839
epsilon_greedy_eps0.2,945,30,8,0.26666666666666666,2.872932740533798e-06,1.7975438588215396e-06,1.2039785921678885
epsilon_greedy_eps0.2,990,30,12,0.4,1.1011578923061089e-06,6.92491816178719e-07,0.593895219148856
epsilon_greedy_eps0.2,1035,30,13,0.43333333333333335,6.107976535932347e-07,8.469512088757598e-07,0.6620344615220007
epsilon_greedy_eps0.2,1080,30,7,0.23333333333333334,1.5067647751986586e-06,1.117146493979571e-06,1.2242330661865373
epsilon_greedy_eps0.2,1125,30,13,0.43333333333333335,4.797212713088258e-07,4.179387132160438e-07,0.6920149083282371
epsilon_greedy_eps0.2,1170,30,14,0.4666666666666667,3.8959165011838973e-07,1.1439950591377207e-07,0.6791336194302823
epsilon_greedy_eps0.2,1215,30,13,0.43333333333333335,6.200774108457953e-07,5.181922103806997e-07,0.7419840283061758
epsilon_greedy_eps0.2,1260,30,11,0.36666666666666664,1.3718610583741435e-06,8.10077550924129e-07,0.8595699913672737
epsilon_greedy_eps0.2,1305,30,7,0.23333333333333334,1.718175246170218e-06,1.0066376121044172e-06,1.231195209308157
epsilon_greedy_eps0.2,1350,30,10,0.3333333333333333,1.4208199827809937e-06,1.0781523335377354e-06,1.0092487863348825
epsilon_greedy_eps0.2,1395,30,19,0.6333333333333333,-1.4375241207338861e-06,-4.124907664128904e-07,0.2238146810295346
epsilon_greedy_eps0.2,1440,30,13,0.43333333333333335,5.673942606331355e-07,4.4812691472365964e-07,1.4778914989772893
epsilon_greedy_eps0.2,1485,30,9,0.3,8.475306253643374e-07,7.676805225617943e-07,0.6045755310266903
epsilon_greedy_eps0.2,1530,30,18,0.6,4.4923522959009844e-07,-2.922915909338492e-07,0.6358847354383791
epsilon_greedy_eps0.2,1575,30,11,0.36666666666666664,1.2389589428550303e-06,8.503424284888754e-07,0.9587750568506043
epsilon_greedy_eps0.2,1620,30,19,0.6333333333333333,-4.290205612625958e-07,-3.7024662502456344e-07,0.09598039540385533
epsilon_greedy_eps0.2,1665,30,15,0.5,3.951305669674835e-07,6.080488628901088e-08,0.6120811579932744
epsilon_greedy_eps0.2,1710,30,14,0.4666666666666667,1.0834085280524707e-07,1.0395159268764785e-07,0.5543312826969932
epsilon_greedy_eps0.2,1755,30,15,0.5,4.702306569645637e-07,2.6441288708249488e-08,0.7869755919149121
epsilon_greedy_eps0.2,1798,30,0,0.0,0.0,0.0,
exploration_bonus_c0.25,45,30,0,0.0,0.0,0.0,0.0
exploration_bonus_c0.25,90,30,6,0.2,2.4870442122676015e-05,2.2125713017316406e-05,2.093938929681599
exploration_bonus_c0.25,135,30,3,0.1,3.169175999893701e-05,2.797961449824428e-05,3.379747006493976
exploration_bonus_c0.25,180,30,5,0.16666666666666666,2.963394040285877e-05,2.7009292779074326e-05,4.35389330139246
exploration_bonus_c0.25,225,30,4,0.13333333333333333,3.4058148036499764e-05,3.054634434621949e-05,5.61939848168285
exploration_bonus_c0.25,270,30,4,0.13333333333333333,3.5546888203551894e-05,2.442505966428304e-05,8.962225765035075
exploration_bonus_c0.25,315,30,3,0.1,3.501020768196283e-05,2.6474510802263505e-05,6.302040116924976
exploration_bonus_c0.25,360,30,5,0.16666666666666666,3.687594234131259e-05,2.881924930772649e-05,7.9797081969618295
exploration_bonus_c0.25,405,30,3,0.1,3.7213336463399206e-05,2.735877804226833e-05,7.704239406140049
exploration_bonus_c0.25,450,30,2,0.06666666666666667,4.008861414477835e-05,2.52079643015815e-05,9.306778881307565
exploration_bonus_c0.25,495,30,2,0.06666666666666667,3.94675110978372e-05,2.727331432660669e-05,10.827616152678196
exploration_bonus_c0.25,540,30,3,0.1,3.90457774091524e-05,3.000042301625379e-05,12.615531706973885
exploration_bonus_c0.25,585,30,1,0.03333333333333333,4.354428208165168e-05,2.571893704802838e-05,10.143443261216039
exploration_bonus_c0.25,630,30,0,0.0,3.8443987277515726e-05,2.4711801160530184e-05,8.514507661555445
exploration_bonus_c0.25,675,30,1,0.03333333333333333,3.399195146948634e-05,2.38914123424131e-05,9.347223586076815
exploration_bonus_c0.25,720,30,0,0.0,3.611114831674502e-05,2.826432260171465e-05,9.649251353457746
exploration_bonus_c0.25,765,30,1,0.03333333333333333,3.596096237539021e-05,2.576279315628211e-05,12.69577841668363
exploration_bonus_c0.25,810,30,0,0.0,3.498100664717932e-05,2.2935291593019577e-05,12.937420061054334
exploration_bonus_c0.25,855,30,0,0.0,3.572884914088361e-05,2.297802705855924e-05,10.039343103041114
exploration_bonus_c0.25,900,30,3,0.1,3.092445886637773e-05,2.150111628828561e-05,10.146525451270286
exploration_bonus_c0.25,945,30,1,0.03333333333333333,3.319822007018066e-05,1.62903217714255e-05,13.929775354165994
exploration_bonus_c0.25,990,30,2,0.06666666666666667,3.2062342692384655e-05,2.1201889452823333e-05,11.394006032478263
exploration_bonus_c0.25,1035,30,3,0.1,2.731778189449287e-05,2.1479430313442426e-05,9.834038554888156
exploration_bonus_c0.25,1080,30,1,0.03333333333333333,3.0506067581424322e-05,2.2367537880745482e-05,18.613967860637892
