policy_name,budget,n_seeds,policy_wins,policy_win_fraction,mean_policy_minus_baseline_distance,median_policy_minus_baseline_distance,mean_relative_difference_policy_minus_baseline
epsilon_greedy_eps0.2,45,30,0,0.0,0.0,0.0,0.0
epsilon_greedy_eps0.2,90,30,19,0.6333333333333333,-6.500658528613614e-06,-3.5831807585704976e-06,0.4901799024522493
epsilon_greedy_eps0.2,180,30,13,0.43333333333333335,1.679249061260679e-06,2.404770861525378e-06,1.3027194837190856
epsilon_greedy_eps0.2,360,30,13,0.43333333333333335,1.9248259178226406e-06,1.5681077441987834e-06,0.5709033623227279
epsilon_greedy_eps0.2,720,30,13,0.43333333333333335,1.0855275960217823e-06,3.432485684427966e-07,0.2695025413002647
epsilon_greedy_eps0.2,1200,30,15,0.5,-1.0924449390926929e-07,2.0598155261287367e-07,0.32571605992319774
epsilon_greedy_eps0.2,1798,30,0,0.0,0.0,0.0,
exploration_bonus_c0.25,45,30,0,0.0,0.0,0.0,0.0
exploration_bonus_c0.25,90,30,16,0.5333333333333333,-5.499326283472062e-06,-3.113046463014848e-06,0.6961126360993004
exploration_bonus_c0.25,180,30,18,0.6,-2.3374400639535768e-07,-9.104993982355388e-07,0.638180054894949
exploration_bonus_c0.25,360,30,13,0.43333333333333335,3.6563230809047395e-06,1.6157394211440877e-06,0.8177494545750571
exploration_bonus_c0.25,720,30,10,0.3333333333333333,4.863480091079699e-06,1.6219933368708645e-06,1.1166297623770807
exploration_bonus_c0.25,1200,30,8,0.26666666666666666,1.2703318974741255e-06,8.336314726712187e-07,0.7840872238029207
exploration_bonus_c0.25,1798,30,0,0.0,0.0,0.0,
exploration_bonus_c0.5,45,30,0,0.0,0.0,0.0,0.0
exploration_bonus_c0.5,90,30,16,0.5333333333333333,-5.499326283472062e-06,-3.113046463014848e-06,0.6961126360993004
exploration_bonus_c0.5,180,30,19,0.6333333333333333,-2.0446858922026253e-06,-8.643656465864105e-07,0.9302474237670316
exploration_bonus_c0.5,360,30,15,0.5,2.6513222241281955e-06,1.286460567502189e-07,0.7010022040502313
exploration_bonus_c0.5,720,30,5,0.16666666666666666,4.61750399830199e-06,3.2620309786259474e-06,1.3703512050827633
exploration_bonus_c0.5,1200,30,11,0.36666666666666664,1.993783519534709e-06,9.578454355923385e-07,1.2825893244435724
exploration_bonus_c0.5,1798,30,0,0.0,0.0,0.0,
exploration_bonus_c1.0,45,30,0,0.0,0.0,0.0,0.0
exploration_bonus_c1.0,90,30,16,0.5333333333333333,-5.499326283472062e-06,-3.113046463014848e-06,0.6961126360993004
exploration_bonus_c1.0,180,30,13,0.43333333333333335,-6.977640824435949e-07,5.766253052278272e-07,0.6919618667391451
exploration_bonus_c1.0,360,30,15,0.5,1.7180766780579582e-06,-2.8460588595168965e-08,0.598273286630821
exploration_bonus_c1.0,720,30,15,0.5,2.6620090306544503e-06,1.1748280566336595e-07,0.7777767864042077
exploration_bonus_c1.0,1200,30,13,0.43333333333333335,2.8651745329295954e-06,8.021695511262657e-07,1.5286829624085967
exploration_bonus_c1.0,1798,30,0,0.0,0.0,0.0,
greedy_loo_fragility,45,30,0,0.0,0.0,0.0,0.0
greedy_loo_fragility,90,30,16,0.5333333333333333,-5.499326283472062e-06,-3.113046463014848e-06,0.6961126360993004
greedy_loo_fragility,180,30,19,0.6333333333333333,-1.909169170932266e-06,-1.9353001448779687e-06,0.37946513683641747
greedy_loo_fragility,360,30,13,0.43333333333333335,3.5913430719103197e-06,3.010675972179433e-07,0.7727113220395021
greedy_loo_fragility,720,30,9,0.3,3.555056803584607e-06,1.6864267635369309e-06,1.0784974356261787
greedy_loo_fragility,1200,30,13,0.43333333333333335,2.163644410810005e-06,1.364609682480149e-07,1.2267756127998957
greedy_loo_fragility,1798,30,0,0.0,0.0,0.0,
