policy_name,base_policy_name,reveal_seed,recomputation_index,revealed_count_at_recomputation,runtime_seconds,total_loo_terms_available,total_loo_terms_used,max_loo_terms_per_step,loo_subsampled,top_fragile_step,top_fragility,policy_kwargs
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,11,945,3.3571717500162777,945,156,20,True,T1498.002 - Impact: Reflection/Amplification Attack,6.734981460527177e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,12,1035,3.3062674579850864,1035,156,20,True,T1498.002 - Impact: Reflection/Amplification Attack,7.870769339893672e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,13,1125,3.357770583999809,1125,156,20,True,T1498.002 - Impact: Reflection/Amplification Attack,7.200245074425805e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,14,1215,3.3861141669913195,1215,156,20,True,T1583.005 - Resource Development: Acquire Botnet,6.749604557614136e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,15,1305,3.6642135830188636,1305,160,20,True,T1498.001 - Impact: Direct Network Flood,6.530887462848859e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,16,1395,3.994237417005934,1395,180,20,True,T1583.005 - Resource Development: Acquire Botnet,6.694026515284022e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,17,1485,4.001816083997255,1485,180,20,True,T1583.005 - Resource Development: Acquire Botnet,6.755010904578919e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,18,1575,4.032205625000643,1575,180,20,True,T1583.005 - Resource Development: Acquire Botnet,6.963863479437441e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,19,1665,4.130914000008488,1665,180,20,True,T1583.005 - Resource Development: Acquire Botnet,7.264353576775988e-05,"{""c"": 0.25}"
exploration_bonus_c0.25,exploration_bonus_loo_fragility,808,20,1755,3.8867809170042165,1755,180,20,True,T1583.005 - Resource Development: Acquire Botnet,7.041550598695356e-05,"{""c"": 0.25}"
