policy_name,baseline_policy,reveal_seed,budget,baseline_distance,policy_distance,difference_policy_minus_baseline,relative_difference_policy_minus_baseline,policy_better
epsilon_greedy_eps0.2,uniform_step_balanced,606,585,5.122782907941325e-06,6.337363150459755e-06,1.2145802425184302e-06,0.2370938344148043,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,630,3.6457062723040585e-06,7.203770032111041e-06,3.5580637598069825e-06,0.9759600730418453,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,675,2.3664579169846147e-06,1.183594120525252e-05,9.469483288267906e-06,4.001543074272836,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,720,7.58653397887983e-06,6.608658149572731e-06,-9.778758293070993e-07,-0.12889625644983732,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,765,7.606670651728328e-06,1.2299373853173163e-05,4.692703201444835e-06,0.6169194666497879,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,810,5.881894031873741e-06,6.5422117431426824e-06,6.603177112689413e-07,0.11226276904866134,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,855,4.54009142127573e-06,6.263455470203583e-06,1.7233640489278538e-06,0.37958796178681403,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,900,5.77298251192872e-06,7.042661078008923e-06,1.2696785660802024e-06,0.21993459419921405,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,945,2.420546278895071e-06,3.7888648490793243e-06,1.3683185701842533e-06,0.5652932902439123,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,990,6.142013900531562e-06,1.0761476047334823e-05,4.619462146803261e-06,0.7521087092302849,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,1035,5.172342271486925e-06,3.6239376748979483e-06,-1.5484045965889763e-06,-0.29936236144400535,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1080,3.2030689495131963e-06,1.0553157189358316e-06,-2.1477532305773647e-06,-0.6705298151336334,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1125,4.7047167079281175e-06,5.017417831171274e-06,3.127011232431564e-07,0.06646545215277479,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,1170,4.666772423213327e-06,9.172061888772213e-06,4.505289465558886e-06,0.9653972932446422,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,1215,3.2943318511373214e-06,1.8863523800046503e-06,-1.407979471132671e-06,-0.4273945475913685,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1260,5.469342011219928e-06,1.947291616820917e-06,-3.5220503943990113e-06,-0.6439623609519756,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1305,3.197913887658354e-06,4.009647788374601e-06,8.117339007162472e-07,0.2538323198285469,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,1350,3.5555992149390574e-06,3.36673274000201e-06,-1.888664749370473e-07,-0.05311804382887525,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1395,3.053418188352563e-06,1.9434188758388848e-06,-1.109999312513678e-06,-0.3635267899915686,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1440,2.4250183500161935e-06,2.382882391178944e-06,-4.2135958837249486e-08,-0.017375521647895208,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1485,2.420078544799338e-06,4.1797877425882025e-06,1.7597091977888647e-06,0.7271289609878229,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,1530,3.765790861321156e-06,1.3711349289556867e-05,9.945558428235711e-06,2.6410278197835186,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,1575,3.580709833597137e-06,1.4433886117759397e-06,-2.1373212218211972e-06,-0.5968987494510469,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1620,3.499018604502889e-06,2.5050589234286378e-06,-9.939596810742512e-07,-0.2840681326458579,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1665,2.783986840459778e-06,3.6525642184412012e-06,8.685773779814232e-07,0.3119904754427564,False
epsilon_greedy_eps0.2,uniform_step_balanced,606,1710,2.1349828273047645e-06,1.3061934048534108e-06,-8.287894224513538e-07,-0.38819488936949925,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1755,3.7589976467074733e-06,1.0434091656883986e-06,-2.7155884810190747e-06,-0.7224235650686489,True
epsilon_greedy_eps0.2,uniform_step_balanced,606,1798,0.0,0.0,0.0,,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,45,5.4674219001275806e-05,5.4674219001275806e-05,0.0,0.0,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,90,2.3732790177755868e-05,8.931517088907489e-05,6.558238071131902e-05,2.76336579981176,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,135,2.6216912879464198e-05,3.92044838138484e-05,1.2987570934384201e-05,0.4953890259351402,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,180,1.667644503063523e-05,3.268447161357387e-05,1.6008026582938643e-05,0.9599184090812715,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,225,1.296636732170819e-05,8.639557338906832e-06,-4.326809982801358e-06,-0.33369484879218614,True
epsilon_greedy_eps0.2,uniform_step_balanced,707,270,1.3025725546550716e-05,1.2554862996199813e-05,-4.708625503509028e-07,-0.03614866202025804,True
epsilon_greedy_eps0.2,uniform_step_balanced,707,315,6.6367781152117515e-06,1.133122571670454e-05,4.694447601492789e-06,0.7073383379704882,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,360,1.0246951630294914e-05,8.920606374405612e-06,-1.3263452558893014e-06,-0.1294380322795696,True
epsilon_greedy_eps0.2,uniform_step_balanced,707,405,4.228716845965997e-06,5.4145762996476265e-06,1.1858594536816296e-06,0.2804300918877757,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,450,5.59967272279164e-06,1.0683111650461399e-05,5.083438927669759e-06,0.9078100059275392,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,495,3.5556223650688096e-06,6.412809871795378e-06,2.8571875067265685e-06,0.8035688870663505,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,540,6.4780442478265565e-06,1.3298313362649445e-05,6.820269114822888e-06,1.0528284238118861,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,585,4.681790213361978e-06,5.421223400130028e-06,7.394331867680505e-07,0.15793812902117757,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,630,5.36207214693164e-06,1.5686193879750547e-05,1.0324121732818907e-05,1.9253977659973711,False
epsilon_greedy_eps0.2,uniform_step_balanced,707,675,6.472414932329474e-06,4.915858632954559e-06,-1.556556299374915e-06,-0.2404908083998097,True
epsilon_greedy_eps0.2,uniform_step_balanced,707,720,4.896445414141115e-06,2.1318221850476994e-06,-2.7646232290934155e-06,-0.5646184109617728,True
