policy_name,reveal_seed,auc_distance,mean_distance_across_budgets
epsilon_greedy_eps0.2,101,0.01277810319680358,7.148486468027077e-06
epsilon_greedy_eps0.2,202,0.01809131826953607,1.0347014794038518e-05
epsilon_greedy_eps0.2,303,0.01528994677156457,8.926686157708086e-06
epsilon_greedy_eps0.2,404,0.012805258128665833,8.206485413529934e-06
epsilon_greedy_eps0.2,505,0.036874043758064974,2.1654895131911295e-05
epsilon_greedy_eps0.2,606,0.021804191110735074,1.3022652326204087e-05
epsilon_greedy_eps0.2,707,0.017361989382880805,1.0331001586752802e-05
epsilon_greedy_eps0.2,808,0.027763703080134927,1.5632921147231827e-05
epsilon_greedy_eps0.2,909,0.014407959053341425,8.3234549345542e-06
epsilon_greedy_eps0.2,1010,0.015314738489105018,8.858770620317317e-06
epsilon_greedy_eps0.2,1111,0.012769477889160994,7.766459798433451e-06
epsilon_greedy_eps0.2,1212,0.016264314773133417,9.927629868432585e-06
epsilon_greedy_eps0.2,1313,0.028799674742303376,1.6965486235943694e-05
epsilon_greedy_eps0.2,1414,0.024431146294913393,1.5333921303768996e-05
epsilon_greedy_eps0.2,1515,0.01370765596825146,8.607443513049343e-06
epsilon_greedy_eps0.2,1616,0.009578130048645472,6.003033843169098e-06
epsilon_greedy_eps0.2,1717,0.010731608452569007,6.301133745410358e-06
epsilon_greedy_eps0.2,1818,0.013991775822076372,8.608505433009176e-06
epsilon_greedy_eps0.2,1919,0.02710588703366125,1.5095123938116685e-05
epsilon_greedy_eps0.2,2020,0.012611475721773876,7.188527229021256e-06
epsilon_greedy_eps0.2,2121,0.022591954761207598,1.3245250801074488e-05
epsilon_greedy_eps0.2,2222,0.015502541027597742,8.819505414684527e-06
epsilon_greedy_eps0.2,2323,0.013279371142067993,8.381743696757479e-06
epsilon_greedy_eps0.2,2424,0.03314841326789598,1.9154215232298462e-05
epsilon_greedy_eps0.2,2525,0.008545945271460145,5.2346405016104246e-06
epsilon_greedy_eps0.2,2626,0.024632167433018697,1.4085488182009697e-05
epsilon_greedy_eps0.2,2727,0.018790045048634917,1.0806540326032431e-05
epsilon_greedy_eps0.2,2828,0.018649833303596517,1.2055498218957075e-05
epsilon_greedy_eps0.2,2929,0.023239577314715352,1.2993227193239574e-05
epsilon_greedy_eps0.2,3030,0.030919206525248256,1.7414219323310892e-05
exploration_bonus_c0.25,101,0.015090683458522422,8.435581871902369e-06
exploration_bonus_c0.25,202,0.028134313788091857,1.5927190338854035e-05
exploration_bonus_c0.25,303,0.05425299751537838,3.057376955988789e-05
exploration_bonus_c0.25,404,0.059865598176606236,3.434978392450971e-05
exploration_bonus_c0.25,505,0.05409208609078204,3.1220655678654826e-05
exploration_bonus_c0.25,606,0.12115530899146688,6.82183223207099e-05
exploration_bonus_c0.25,707,0.030292856774610438,1.7513559874761044e-05
exploration_bonus_c0.25,808,0.1357571182849113,7.562781740969082e-05
exploration_bonus_c0.25,909,0.022850441784786273,1.3013483593257951e-05
exploration_bonus_c0.25,1010,0.02829285524475215,1.6066602668984045e-05
exploration_bonus_c0.25,1111,0.02461709890630008,1.4348365273497676e-05
exploration_bonus_c0.25,1212,0.06447225526232066,3.670979633672197e-05
exploration_bonus_c0.25,1313,0.12677266459319791,7.139477596777556e-05
exploration_bonus_c0.25,1414,0.0566114346906988,3.321170746562294e-05
exploration_bonus_c0.25,1515,0.10250023813806695,5.79373205519149e-05
exploration_bonus_c0.25,1616,0.036383487011656654,2.0894739738231052e-05
exploration_bonus_c0.25,1717,0.040184534962247484,2.2656957382226984e-05
exploration_bonus_c0.25,1818,0.043361113695599626,2.4924894101702486e-05
exploration_bonus_c0.25,1919,0.03709336363055366,2.0645407250655263e-05
exploration_bonus_c0.25,2020,0.03141758476588074,1.7637407379799745e-05
exploration_bonus_c0.25,2121,0.049977889984878766,2.845955040057731e-05
exploration_bonus_c0.25,2222,0.08666246833651425,4.8354111662700114e-05
exploration_bonus_c0.25,2323,0.025709969817414156,1.5289066522252393e-05
exploration_bonus_c0.25,2424,0.10446629828252552,5.877526246264821e-05
exploration_bonus_c0.25,2525,0.055948789586064175,3.156945130677995e-05
exploration_bonus_c0.25,2626,0.05147218247559839,2.8997134987482157e-05
exploration_bonus_c0.25,2727,0.054024951856048074,3.0383216047053423e-05
exploration_bonus_c0.25,2828,0.12041532420954736,6.859531326820287e-05
exploration_bonus_c0.25,2929,0.019839777059234127,1.1104337683421277e-05
exploration_bonus_c0.25,3030,0.05330591066381982,2.9847466467332436e-05
exploration_bonus_c0.5,101,0.02079097862816377,1.160241252170312e-05
exploration_bonus_c0.5,202,0.08755995722980472,4.894143669536118e-05
exploration_bonus_c0.5,303,0.03319445813322995,1.887458101424987e-05
exploration_bonus_c0.5,404,0.03546997574850652,2.0796660353343203e-05
exploration_bonus_c0.5,505,0.05358231394192592,3.093744892929031e-05
exploration_bonus_c0.5,606,0.038116176210145576,2.2085470775531398e-05
exploration_bonus_c0.5,707,0.04869661763531049,2.7737871464038846e-05
exploration_bonus_c0.5,808,0.08498949020674793,4.7423579588488975e-05
exploration_bonus_c0.5,909,0.029638253907469082,1.678449032808174e-05
exploration_bonus_c0.5,1010,0.04919022110640522,2.7676570310658458e-05
exploration_bonus_c0.5,1111,0.021855593594864182,1.2814195656033289e-05
exploration_bonus_c0.5,1212,0.04217282072004045,2.432122159101074e-05
exploration_bonus_c0.5,1313,0.10128323258184582,5.723398040591329e-05
exploration_bonus_c0.5,1414,0.03537372519645031,2.1412979968818222e-05
exploration_bonus_c0.5,1515,0.03255884373689728,1.9080990329042856e-05
exploration_bonus_c0.5,1616,0.031056189662859782,1.793513010001057e-05
exploration_bonus_c0.5,1717,0.03054064511017777,1.7299240797743817e-05
exploration_bonus_c0.5,1818,0.04831822094152224,2.76788425716595e-05
exploration_bonus_c0.5,1919,0.06380844181869656,3.548711735517911e-05
exploration_bonus_c0.5,2020,0.03412909827753896,1.9143803775165416e-05
exploration_bonus_c0.5,2121,0.05446262316843901,3.095106883588856e-05
exploration_bonus_c0.5,2222,0.14688553905237564,8.181137317151197e-05
exploration_bonus_c0.5,2323,0.023696860446188378,1.4170672427126963e-05
exploration_bonus_c0.5,2424,0.06980902669263085,3.95212226904845e-05
exploration_bonus_c0.5,2525,0.032892622336645444,1.876046950154731e-05
exploration_bonus_c0.5,2626,0.16071851585849653,8.968954242242555e-05
exploration_bonus_c0.5,2727,0.08810870153754344,4.9318632536773066e-05
exploration_bonus_c0.5,2828,0.10030363111969395,5.742215044050654e-05
exploration_bonus_c0.5,2929,0.031097129868410615,1.7358422577408218e-05
exploration_bonus_c0.5,3030,0.04572984219241077,2.563853953877185e-05
exploration_bonus_c1.0,101,0.015498060067736966,8.661902210354894e-06
exploration_bonus_c1.0,202,0.06347022314283794,3.555825109149074e-05
exploration_bonus_c1.0,303,0.021058821480747558,1.2132560651759647e-05
exploration_bonus_c1.0,404,0.020340669588366597,1.2391490264376578e-05
exploration_bonus_c1.0,505,0.09288977832029721,5.2774929139496577e-05
exploration_bonus_c1.0,606,0.059733300507616195,3.4094984274126175e-05
exploration_bonus_c1.0,707,0.031328713775644224,1.8089035986446484e-05
exploration_bonus_c1.0,808,0.08334168944713653,4.65081347220382e-05
exploration_bonus_c1.0,909,0.025774826263348576,1.463814163690368e-05
exploration_bonus_c1.0,1010,0.06269410122626021,3.517899447156877e-05
