policy_name,reveal_seed,auc_distance,mean_distance_across_budgets
softmax_normalized_fragility_temp0.25,101,0.008831548500394103,4.956114094357782e-06
softmax_normalized_fragility_temp0.25,202,0.0162546644354115,9.327375228287542e-06
softmax_normalized_fragility_temp0.25,303,0.01240914287708363,7.327183649724135e-06
softmax_normalized_fragility_temp0.25,404,0.011705518531513566,7.594184121680451e-06
softmax_normalized_fragility_temp0.25,505,0.02738744486084732,1.638550724612708e-05
softmax_normalized_fragility_temp0.25,606,0.023233322701817744,1.3817246724433578e-05
softmax_normalized_fragility_temp0.25,707,0.013875022094217256,8.393895175106719e-06
softmax_normalized_fragility_temp0.25,808,0.020836026629122886,1.1782134918291642e-05
softmax_normalized_fragility_temp0.25,909,0.012152862089511838,7.071294181812178e-06
softmax_normalized_fragility_temp0.25,1010,0.013832119060111567,8.033279105111094e-06
softmax_normalized_fragility_temp0.25,1111,0.010199360231834447,6.339826321360592e-06
softmax_normalized_fragility_temp0.25,1212,0.013454805384476262,8.366779383313554e-06
softmax_normalized_fragility_temp0.25,1313,0.0392901361314701,2.2793371266815668e-05
softmax_normalized_fragility_temp0.25,1414,0.0193307256316098,1.2500104939155895e-05
softmax_normalized_fragility_temp0.25,1515,0.011557499222753086,7.413053017784246e-06
softmax_normalized_fragility_temp0.25,1616,0.013042568485451505,7.927562779228191e-06
softmax_normalized_fragility_temp0.25,1717,0.011274765550902906,6.595974375924447e-06
softmax_normalized_fragility_temp0.25,1818,0.014784641615377023,9.049076279356606e-06
softmax_normalized_fragility_temp0.25,1919,0.032264459517454186,1.796268274337778e-05
softmax_normalized_fragility_temp0.25,2020,0.007935131731915651,4.589899196709919e-06
softmax_normalized_fragility_temp0.25,2121,0.02242293633747664,1.315124281868724e-05
softmax_normalized_fragility_temp0.25,2222,0.011797261468706,6.7623300694733e-06
softmax_normalized_fragility_temp0.25,2323,0.0133597437223431,8.427829802768478e-06
softmax_normalized_fragility_temp0.25,2424,0.028522271635745146,1.6584136547770225e-05
softmax_normalized_fragility_temp0.25,2525,0.011464883090631383,6.856407949286683e-06
softmax_normalized_fragility_temp0.25,2626,0.01960434814779595,1.1294173039325213e-05
softmax_normalized_fragility_temp0.25,2727,0.014832828140867551,8.608116199926356e-06
softmax_normalized_fragility_temp0.25,2828,0.011309700072945078,7.980142819040758e-06
softmax_normalized_fragility_temp0.25,2929,0.01845896012016331,1.0336782248176633e-05
softmax_normalized_fragility_temp0.25,3030,0.022077584587877976,1.2498545831657736e-05
softmax_normalized_fragility_temp0.5,101,0.009200775120749771,5.161345649192346e-06
softmax_normalized_fragility_temp0.5,202,0.011857463310421014,6.883724083327022e-06
softmax_normalized_fragility_temp0.5,303,0.009629401375814075,5.78226560303057e-06
softmax_normalized_fragility_temp0.5,404,0.010637977046378548,7.001835824706028e-06
