policy_name,baseline_policy,reveal_seed,n_budgets,policy_wins,policy_win_fraction,policy_auc,baseline_auc,policy_minus_baseline_auc
stochastic_normalized_fragility,uniform_step_balanced,101,7,2,0.2857142857142857,0.005405952335234691,0.00539649711895304,9.455216281650802e-06
stochastic_normalized_fragility,uniform_step_balanced,202,7,2,0.2857142857142857,0.017268844845705567,0.012639605600510704,0.004629239245194863
stochastic_normalized_fragility,uniform_step_balanced,303,7,2,0.2857142857142857,0.012099827493018883,0.00907970257512294,0.0030201249178959423
stochastic_normalized_fragility,uniform_step_balanced,404,7,2,0.2857142857142857,0.009335031913968988,0.007332424863556044,0.0020026070504129438
stochastic_normalized_fragility,uniform_step_balanced,505,7,4,0.5714285714285714,0.01894917219843688,0.027403867809493773,-0.008454695611056894
stochastic_normalized_fragility,uniform_step_balanced,606,7,1,0.14285714285714285,0.014024902182447339,0.009797518508068401,0.004227383674378938
stochastic_normalized_fragility,uniform_step_balanced,707,7,3,0.42857142857142855,0.01183453514224716,0.010443820733288053,0.0013907144089591074
stochastic_normalized_fragility,uniform_step_balanced,808,7,3,0.42857142857142855,0.008362417082162734,0.012590400646346343,-0.004227983564183609
stochastic_normalized_fragility,uniform_step_balanced,909,7,3,0.42857142857142855,0.013012119264007855,0.008510083406422363,0.004502035857585492
stochastic_normalized_fragility,uniform_step_balanced,1010,7,3,0.42857142857142855,0.007554456006029723,0.007551689053113603,2.7669529161196763e-06
