policy_name,c,average_auc,median_auc,average_distance_across_all_budgets_and_seeds,win_fraction_vs_uniform,mean_l1_imbalance_at_1798,median_l1_imbalance_at_1798,max_l1_imbalance_at_1798,mean_max_min_ratio_at_1798,min_step_count_at_1798_mean,max_step_count_at_1798_mean
exploration_bonus_c0.25,0.25,0.05783405326793585,0.05238904656970911,3.275610164992704e-05,0.10583333333333333,0.0,0.0,0.0,1.0050251256281406,199.0,200.0
exploration_bonus_c0.5,0.5,0.0558676582220479,0.04395133145622561,3.1663670622458944e-05,0.09,0.0,0.0,0.0,1.0050251256281406,199.0,200.0
exploration_bonus_c1.0,1.0,0.04114990028139088,0.03401692897664931,2.3487142193923025e-05,0.15666666666666668,0.0,0.0,0.0,1.0050251256281406,199.0,200.0
