policy_name,c,average_auc,median_auc,average_distance_across_all_budgets_and_seeds,win_fraction_vs_uniform,mean_l1_imbalance_at_1798,median_l1_imbalance_at_1798,max_l1_imbalance_at_1798,mean_max_min_ratio_at_1798,min_step_count_at_1798_mean,max_step_count_at_1798_mean
exploration_bonus_c0.25,0.25,0.015046279225370425,0.01080794884137765,1.6081670313134586e-05,0.30952380952380953,0.0,0.0,0.0,1.0050251256281406,199.0,200.0
exploration_bonus_c0.5,0.5,0.014817082304780795,0.01255813758007085,1.574760356837731e-05,0.3142857142857143,0.0,0.0,0.0,1.0050251256281406,199.0,200.0
exploration_bonus_c1.0,1.0,0.014395312321467176,0.009078770870712323,1.5651828184011045e-05,0.34285714285714286,0.0,0.0,0.0,1.0050251256281406,199.0,200.0
