policy_name,baseline_policy,reveal_seed,n_budgets,policy_wins,policy_win_fraction,policy_auc,baseline_auc,policy_minus_baseline_auc
exploration_bonus_c0.25,uniform_step_balanced,2121,40,3,0.075,0.049977889984878766,0.01560085882924854,0.034377031155630226
exploration_bonus_c0.25,uniform_step_balanced,2222,40,1,0.025,0.08666246833651425,0.006607220202321865,0.08005524813419239
exploration_bonus_c0.25,uniform_step_balanced,2323,40,7,0.175,0.025709969817414156,0.00989988464243342,0.015810085174980736
exploration_bonus_c0.25,uniform_step_balanced,2424,40,1,0.025,0.10446629828252552,0.018722927713536796,0.08574337056898872
exploration_bonus_c0.25,uniform_step_balanced,2525,40,2,0.05,0.055948789586064175,0.00701650290330034,0.04893228668276384
exploration_bonus_c0.25,uniform_step_balanced,2626,40,2,0.05,0.05147218247559839,0.008736596031496619,0.042735586444101775
exploration_bonus_c0.25,uniform_step_balanced,2727,40,1,0.025,0.054024951856048074,0.014102489738240045,0.03992246211780803
exploration_bonus_c0.25,uniform_step_balanced,2828,40,1,0.025,0.12041532420954736,0.0115669965384981,0.10884832767104925
exploration_bonus_c0.25,uniform_step_balanced,2929,40,14,0.35,0.019839777059234127,0.018056342578459145,0.0017834344807749827
exploration_bonus_c0.25,uniform_step_balanced,3030,40,9,0.225,0.05330591066381982,0.015620413024879149,0.03768549763894067
exploration_bonus_c0.5,uniform_step_balanced,101,40,6,0.15,0.02079097862816377,0.0072585246865587635,0.013532453941605006
exploration_bonus_c0.5,uniform_step_balanced,202,40,2,0.05,0.08755995722980472,0.009725198389519404,0.07783475884028532
exploration_bonus_c0.5,uniform_step_balanced,303,40,4,0.1,0.03319445813322995,0.009167683679002113,0.024026774454227837
exploration_bonus_c0.5,uniform_step_balanced,404,40,1,0.025,0.03546997574850652,0.008905758217899767,0.026564217530606754
exploration_bonus_c0.5,uniform_step_balanced,505,40,4,0.1,0.05358231394192592,0.01986043025305692,0.033721883688869
exploration_bonus_c0.5,uniform_step_balanced,606,40,4,0.1,0.038116176210145576,0.00975122162312338,0.028364954587022196
exploration_bonus_c0.5,uniform_step_balanced,707,40,2,0.05,0.04869661763531049,0.011934479562188054,0.03676213807312244
exploration_bonus_c0.5,uniform_step_balanced,808,40,2,0.05,0.08498949020674793,0.008822605734030368,0.07616688447271755
exploration_bonus_c0.5,uniform_step_balanced,909,40,3,0.075,0.029638253907469082,0.01317380157585426,0.016464452331614823
exploration_bonus_c0.5,uniform_step_balanced,1010,40,2,0.05,0.04919022110640522,0.008861721009250959,0.04032850009715426
exploration_bonus_c0.5,uniform_step_balanced,1111,40,7,0.175,0.021855593594864182,0.008153327534253412,0.01370226606061077
exploration_bonus_c0.5,uniform_step_balanced,1212,40,4,0.1,0.04217282072004045,0.012170175408716932,0.030002645311323517
exploration_bonus_c0.5,uniform_step_balanced,1313,40,2,0.05,0.10128323258184582,0.02203571344991379,0.07924751913193204
exploration_bonus_c0.5,uniform_step_balanced,1414,40,10,0.25,0.03537372519645031,0.01767052757319083,0.01770319762325948
exploration_bonus_c0.5,uniform_step_balanced,1515,40,4,0.1,0.03255884373689728,0.010691821308532284,0.021867022428365
exploration_bonus_c0.5,uniform_step_balanced,1616,40,3,0.075,0.031056189662859782,0.010540329070659347,0.020515860592200435
exploration_bonus_c0.5,uniform_step_balanced,1717,40,2,0.05,0.03054064511017777,0.00691201190455868,0.02362863320561909
exploration_bonus_c0.5,uniform_step_balanced,1818,40,6,0.15,0.04831822094152224,0.010894898835503635,0.037423322106018606
exploration_bonus_c0.5,uniform_step_balanced,1919,40,2,0.05,0.06380844181869656,0.013937003274894614,0.04987143854380195
exploration_bonus_c0.5,uniform_step_balanced,2020,40,9,0.225,0.03412909827753896,0.00804688140667155,0.02608221687086741
exploration_bonus_c0.5,uniform_step_balanced,2121,40,4,0.1,0.05446262316843901,0.01560085882924854,0.03886176433919047
exploration_bonus_c0.5,uniform_step_balanced,2222,40,0,0.0,0.14688553905237564,0.006607220202321865,0.14027831885005376
exploration_bonus_c0.5,uniform_step_balanced,2323,40,7,0.175,0.023696860446188378,0.00989988464243342,0.013796975803754958
exploration_bonus_c0.5,uniform_step_balanced,2424,40,1,0.025,0.06980902669263085,0.018722927713536796,0.05108609897909405
exploration_bonus_c0.5,uniform_step_balanced,2525,40,2,0.05,0.032892622336645444,0.00701650290330034,0.025876119433345106
exploration_bonus_c0.5,uniform_step_balanced,2626,40,1,0.025,0.16071851585849653,0.008736596031496619,0.1519819198269999
exploration_bonus_c0.5,uniform_step_balanced,2727,40,0,0.0,0.08810870153754344,0.014102489738240045,0.07400621179930339
exploration_bonus_c0.5,uniform_step_balanced,2828,40,1,0.025,0.10030363111969395,0.0115669965384981,0.08873663458119585
exploration_bonus_c0.5,uniform_step_balanced,2929,40,8,0.2,0.031097129868410615,0.018056342578459145,0.01304078728995147
exploration_bonus_c0.5,uniform_step_balanced,3030,40,5,0.125,0.04572984219241077,0.015620413024879149,0.03010942916753162
exploration_bonus_c1.0,uniform_step_balanced,101,40,6,0.15,0.015498060067736966,0.0072585246865587635,0.008239535381178203
exploration_bonus_c1.0,uniform_step_balanced,202,40,2,0.05,0.06347022314283794,0.009725198389519404,0.053745024753318535
exploration_bonus_c1.0,uniform_step_balanced,303,40,6,0.15,0.021058821480747558,0.009167683679002113,0.011891137801745446
exploration_bonus_c1.0,uniform_step_balanced,404,40,4,0.1,0.020340669588366597,0.008905758217899767,0.01143491137046683
exploration_bonus_c1.0,uniform_step_balanced,505,40,2,0.05,0.09288977832029721,0.01986043025305692,0.07302934806724029
exploration_bonus_c1.0,uniform_step_balanced,606,40,1,0.025,0.059733300507616195,0.00975122162312338,0.04998207888449281
exploration_bonus_c1.0,uniform_step_balanced,707,40,5,0.125,0.031328713775644224,0.011934479562188054,0.01939423421345617
exploration_bonus_c1.0,uniform_step_balanced,808,40,1,0.025,0.08334168944713653,0.008822605734030368,0.07451908371310617
exploration_bonus_c1.0,uniform_step_balanced,909,40,7,0.175,0.025774826263348576,0.01317380157585426,0.012601024687494316
exploration_bonus_c1.0,uniform_step_balanced,1010,40,6,0.15,0.06269410122626021,0.008861721009250959,0.05383238021700925
exploration_bonus_c1.0,uniform_step_balanced,1111,40,15,0.375,0.00992111791912232,0.008153327534253412,0.0017677903848689076
exploration_bonus_c1.0,uniform_step_balanced,1212,40,4,0.1,0.06795475281536824,0.012170175408716932,0.055784577406651305
exploration_bonus_c1.0,uniform_step_balanced,1313,40,7,0.175,0.0672427411480829,0.02203571344991379,0.04520702769816912
exploration_bonus_c1.0,uniform_step_balanced,1414,40,4,0.1,0.044010107239536043,0.01767052757319083,0.026339579666345213
exploration_bonus_c1.0,uniform_step_balanced,1515,40,16,0.4,0.019436509395012423,0.010691821308532284,0.00874468808648014
exploration_bonus_c1.0,uniform_step_balanced,1616,40,12,0.3,0.017145135415349434,0.010540329070659347,0.006604806344690087
exploration_bonus_c1.0,uniform_step_balanced,1717,40,11,0.275,0.017570403518410684,0.00691201190455868,0.010658391613852004
exploration_bonus_c1.0,uniform_step_balanced,1818,40,7,0.175,0.029776259164927946,0.010894898835503635,0.01888136032942431
exploration_bonus_c1.0,uniform_step_balanced,1919,40,2,0.05,0.053192905204463715,0.013937003274894614,0.0392559019295691
exploration_bonus_c1.0,uniform_step_balanced,2020,40,13,0.325,0.012273089899897855,0.00804688140667155,0.004226208493226306
exploration_bonus_c1.0,uniform_step_balanced,2121,40,4,0.1,0.052533729823421325,0.01560085882924854,0.036932870994172785
exploration_bonus_c1.0,uniform_step_balanced,2222,40,5,0.125,0.07640756599178661,0.006607220202321865,0.06980034578946474
exploration_bonus_c1.0,uniform_step_balanced,2323,40,8,0.2,0.018873000819531083,0.00989988464243342,0.008973116177097663
exploration_bonus_c1.0,uniform_step_balanced,2424,40,2,0.05,0.07322125142672581,0.018722927713536796,0.05449832371318901
exploration_bonus_c1.0,uniform_step_balanced,2525,40,4,0.1,0.022634626314247716,0.00701650290330034,0.015618123410947376
exploration_bonus_c1.0,uniform_step_balanced,2626,40,1,0.025,0.0367051441776544,0.008736596031496619,0.027968548146157783
exploration_bonus_c1.0,uniform_step_balanced,2727,40,14,0.35,0.023813046371485496,0.014102489738240045,0.009710556633245451
exploration_bonus_c1.0,uniform_step_balanced,2828,40,4,0.1,0.0413144579708074,0.0115669965384981,0.0297474614323093
exploration_bonus_c1.0,uniform_step_balanced,2929,40,10,0.25,0.023898892728860907,0.018056342578459145,0.005842550150401762
exploration_bonus_c1.0,uniform_step_balanced,3030,40,5,0.125,0.05044208727704234,0.015620413024879149,0.03482167425216319
greedy_loo_fragility,uniform_step_balanced,101,40,9,0.225,0.009826539325777699,0.0072585246865587635,0.002568014639218935
greedy_loo_fragility,uniform_step_balanced,202,40,2,0.05,0.03553210705717545,0.009725198389519404,0.02580690866765605
greedy_loo_fragility,uniform_step_balanced,303,40,2,0.05,0.03828223031422811,0.009167683679002113,0.029114546635225995
greedy_loo_fragility,uniform_step_balanced,404,40,2,0.05,0.04824210841490903,0.008905758217899767,0.03933635019700926
greedy_loo_fragility,uniform_step_balanced,505,40,7,0.175,0.041065213566820344,0.01986043025305692,0.021204783313763423
greedy_loo_fragility,uniform_step_balanced,606,40,1,0.025,0.09261939029198533,0.00975122162312338,0.08286816866886196
greedy_loo_fragility,uniform_step_balanced,707,40,7,0.175,0.05418368505300131,0.011934479562188054,0.04224920549081325
greedy_loo_fragility,uniform_step_balanced,808,40,4,0.1,0.02312225252229178,0.008822605734030368,0.01429964678826141
greedy_loo_fragility,uniform_step_balanced,909,40,3,0.075,0.03439196907587658,0.01317380157585426,0.02121816750002232
greedy_loo_fragility,uniform_step_balanced,1010,40,8,0.2,0.023865841320597114,0.008861721009250959,0.015004120311346155
greedy_loo_fragility,uniform_step_balanced,1111,40,3,0.075,0.030143807999135942,0.008153327534253412,0.021990480464882528
greedy_loo_fragility,uniform_step_balanced,1212,40,2,0.05,0.046055391719012205,0.012170175408716932,0.03388521631029527
greedy_loo_fragility,uniform_step_balanced,1313,40,2,0.05,0.13226427505783742,0.02203571344991379,0.11022856160792363
greedy_loo_fragility,uniform_step_balanced,1414,40,8,0.2,0.17935787378412715,0.01767052757319083,0.16168734621093633
greedy_loo_fragility,uniform_step_balanced,1515,40,2,0.05,0.09510609778102504,0.010691821308532284,0.08441427647249275
greedy_loo_fragility,uniform_step_balanced,1616,40,5,0.125,0.03309324609696316,0.010540329070659347,0.022552917026303812
greedy_loo_fragility,uniform_step_balanced,1717,40,4,0.1,0.025219995083263325,0.00691201190455868,0.018307983178704645
greedy_loo_fragility,uniform_step_balanced,1818,40,3,0.075,0.04483380440657711,0.010894898835503635,0.03393890557107347
greedy_loo_fragility,uniform_step_balanced,1919,40,12,0.3,0.04337678356661698,0.013937003274894614,0.029439780291722364
greedy_loo_fragility,uniform_step_balanced,2020,40,5,0.125,0.02125371010185194,0.00804688140667155,0.01320682869518039
greedy_loo_fragility,uniform_step_balanced,2121,40,4,0.1,0.03967979950204804,0.01560085882924854,0.024078940672799497
greedy_loo_fragility,uniform_step_balanced,2222,40,1,0.025,0.0273233445005868,0.006607220202321865,0.020716124298264936
greedy_loo_fragility,uniform_step_balanced,2323,40,5,0.125,0.03170871600042373,0.00989988464243342,0.02180883135799031
greedy_loo_fragility,uniform_step_balanced,2424,40,5,0.125,0.039644809246891455,0.018722927713536796,0.02092188153335466
greedy_loo_fragility,uniform_step_balanced,2525,40,7,0.175,0.04526756061279487,0.00701650290330034,0.03825105770949453
greedy_loo_fragility,uniform_step_balanced,2626,40,3,0.075,0.04935568398272562,0.008736596031496619,0.040619087951229
greedy_loo_fragility,uniform_step_balanced,2727,40,4,0.1,0.04547314065166063,0.014102489738240045,0.03137065091342059
greedy_loo_fragility,uniform_step_balanced,2828,40,1,0.025,0.1974727842185122,0.0115669965384981,0.1859057876800141
greedy_loo_fragility,uniform_step_balanced,2929,40,12,0.3,0.019040334739161443,0.018056342578459145,0.0009839921607022982
greedy_loo_fragility,uniform_step_balanced,3030,40,12,0.3,0.024966448111201158,0.015620413024879149,0.00934603508632201
stochastic_normalized_fragility,uniform_step_balanced,101,40,15,0.375,0.007313754971213709,0.0072585246865587635,5.523028465494531e-05
stochastic_normalized_fragility,uniform_step_balanced,202,40,16,0.4,0.012841302674869645,0.009725198389519404,0.0031161042853502414
stochastic_normalized_fragility,uniform_step_balanced,303,40,17,0.425,0.010725362454702217,0.009167683679002113,0.0015576787757001047
stochastic_normalized_fragility,uniform_step_balanced,404,40,21,0.525,0.009194486954707782,0.008905758217899767,0.00028872873680801416
stochastic_normalized_fragility,uniform_step_balanced,505,40,18,0.45,0.02048189903134279,0.01986043025305692,0.0006214687782858698
stochastic_normalized_fragility,uniform_step_balanced,606,40,22,0.55,0.009985751238676208,0.00975122162312338,0.00023452961555282814
stochastic_normalized_fragility,uniform_step_balanced,707,40,17,0.425,0.014207577799725075,0.011934479562188054,0.0022730982375370207
stochastic_normalized_fragility,uniform_step_balanced,808,40,22,0.55,0.011430677115673134,0.008822605734030368,0.002608071381642766
stochastic_normalized_fragility,uniform_step_balanced,909,40,22,0.55,0.010900560475102431,0.01317380157585426,-0.0022732411007518293
stochastic_normalized_fragility,uniform_step_balanced,1010,40,13,0.325,0.012888529258791031,0.008861721009250959,0.004026808249540072
stochastic_normalized_fragility,uniform_step_balanced,1111,40,18,0.45,0.007859649519311234,0.008153327534253412,-0.00029367801494217805
stochastic_normalized_fragility,uniform_step_balanced,1212,40,16,0.4,0.013782840030512177,0.012170175408716932,0.0016126646217952453
stochastic_normalized_fragility,uniform_step_balanced,1313,40,15,0.375,0.024565710752308536,0.02203571344991379,0.0025299973023947472
stochastic_normalized_fragility,uniform_step_balanced,1414,40,23,0.575,0.01659983905093491,0.01767052757319083,-0.0010706885222559193
stochastic_normalized_fragility,uniform_step_balanced,1515,40,21,0.525,0.01233536086078441,0.010691821308532284,0.0016435395522521271
stochastic_normalized_fragility,uniform_step_balanced,1616,40,21,0.525,0.012814629126158848,0.010540329070659347,0.0022743000554995008
stochastic_normalized_fragility,uniform_step_balanced,1717,40,17,0.425,0.00977263761218003,0.00691201190455868,0.00286062570762135
stochastic_normalized_fragility,uniform_step_balanced,1818,40,20,0.5,0.012805161844328752,0.010894898835503635,0.0019102630088251166
stochastic_normalized_fragility,uniform_step_balanced,1919,40,14,0.35,0.019924280156001065,0.013937003274894614,0.005987276881106451
stochastic_normalized_fragility,uniform_step_balanced,2020,40,14,0.35,0.014109832495311466,0.00804688140667155,0.006062951088639917
stochastic_normalized_fragility,uniform_step_balanced,2121,40,20,0.5,0.01811574825747208,0.01560085882924854,0.0025148894282235393
stochastic_normalized_fragility,uniform_step_balanced,2222,40,21,0.525,0.00630112835296589,0.006607220202321865,-0.00030609184935597496
stochastic_normalized_fragility,uniform_step_balanced,2323,40,21,0.525,0.010154017164804926,0.00989988464243342,0.0002541325223715061
stochastic_normalized_fragility,uniform_step_balanced,2424,40,19,0.475,0.017078258063852058,0.018722927713536796,-0.001644669649684738
stochastic_normalized_fragility,uniform_step_balanced,2525,40,16,0.4,0.008746700657031922,0.00701650290330034,0.0017301977537315816
stochastic_normalized_fragility,uniform_step_balanced,2626,40,10,0.25,0.015275080092897787,0.008736596031496619,0.006538484061401168
stochastic_normalized_fragility,uniform_step_balanced,2727,40,18,0.45,0.013032198228725825,0.014102489738240045,-0.00107029150951422
stochastic_normalized_fragility,uniform_step_balanced,2828,40,22,0.55,0.013301083154858756,0.0115669965384981,0.0017340866163606562
stochastic_normalized_fragility,uniform_step_balanced,2929,40,17,0.425,0.019130719627088448,0.018056342578459145,0.0010743770486293033
stochastic_normalized_fragility,uniform_step_balanced,3030,40,19,0.475,0.01538493118162948,0.015620413024879149,-0.00023548184324966893
