policy_name,reveal_seed,auc_distance,mean_distance_across_budgets
stochastic_epsilon_greedy_eps0.2,101,0.0091213584922527,5.117109093789066e-06
stochastic_epsilon_greedy_eps0.2,202,0.01116495511445454,6.498905647238089e-06
stochastic_epsilon_greedy_eps0.2,303,0.008487060689144,5.148724644365708e-06
stochastic_epsilon_greedy_eps0.2,404,0.009998893348475717,6.645329843384491e-06
stochastic_epsilon_greedy_eps0.2,505,0.018892769771777188,1.1666279862203197e-05
stochastic_epsilon_greedy_eps0.2,606,0.01133616254435093,7.207148038991559e-06
stochastic_epsilon_greedy_eps0.2,707,0.011033884497170571,6.814029929330197e-06
stochastic_epsilon_greedy_eps0.2,808,0.011905179371568316,6.82094020592426e-06
stochastic_epsilon_greedy_eps0.2,909,0.012665179713363525,7.355932051035654e-06
stochastic_epsilon_greedy_eps0.2,1010,0.008869815552506148,5.27627488378547e-06
stochastic_epsilon_greedy_eps0.2,1111,0.008172972702957249,5.212803869992413e-06
stochastic_epsilon_greedy_eps0.2,1212,0.0121858196302678,7.663302913841198e-06
stochastic_epsilon_greedy_eps0.2,1313,0.02411696664495963,1.436931584839737e-05
stochastic_epsilon_greedy_eps0.2,1414,0.016466022869808767,1.0911883435031781e-05
stochastic_epsilon_greedy_eps0.2,1515,0.01010977698072785,6.615616612005465e-06
stochastic_epsilon_greedy_eps0.2,1616,0.009738822991433782,6.092253188014652e-06
stochastic_epsilon_greedy_eps0.2,1717,0.00880593847065786,5.2213840891256775e-06
stochastic_epsilon_greedy_eps0.2,1818,0.010564914484057256,6.705044889599922e-06
stochastic_epsilon_greedy_eps0.2,1919,0.01735631242983981,9.676551125308681e-06
stochastic_epsilon_greedy_eps0.2,2020,0.007642401926511379,4.428967050293216e-06
stochastic_epsilon_greedy_eps0.2,2121,0.014974958090166822,9.013141124593645e-06
stochastic_epsilon_greedy_eps0.2,2222,0.007234095861448247,4.22656981715633e-06
stochastic_epsilon_greedy_eps0.2,2323,0.01163391142734507,7.467394760728161e-06
stochastic_epsilon_greedy_eps0.2,2424,0.019354044100391207,1.1489084917410753e-05
stochastic_epsilon_greedy_eps0.2,2525,0.008647612746232913,5.291042879362395e-06
stochastic_epsilon_greedy_eps0.2,2626,0.012945594456243532,7.593179992937488e-06
stochastic_epsilon_greedy_eps0.2,2727,0.015117916562252188,8.76682994067047e-06
stochastic_epsilon_greedy_eps0.2,2828,0.012604327160047162,8.696893341419288e-06
stochastic_epsilon_greedy_eps0.2,2929,0.02002985190037784,1.12101693516451e-05
stochastic_epsilon_greedy_eps0.2,3030,0.015378583134756192,8.776520947440615e-06
stochastic_exploration_bonus_c0.25,101,0.0067370400919375545,3.7921746159992886e-06
stochastic_exploration_bonus_c0.25,202,0.012390083711630476,7.179183072879782e-06
stochastic_exploration_bonus_c0.25,303,0.0090673612828417,5.469881974596214e-06
stochastic_exploration_bonus_c0.25,404,0.010426972628400854,6.883486516518871e-06
stochastic_exploration_bonus_c0.25,505,0.0205001824774972,1.2558186518915919e-05
stochastic_exploration_bonus_c0.25,606,0.01021793593926153,6.585683305348705e-06
stochastic_exploration_bonus_c0.25,707,0.015647921333339965,9.378574045229876e-06
stochastic_exploration_bonus_c0.25,808,0.010157681861373507,5.851625663747208e-06
stochastic_exploration_bonus_c0.25,909,0.011022278261101215,6.445113050466834e-06
stochastic_exploration_bonus_c0.25,1010,0.011782523872517929,6.901282926685643e-06
stochastic_exploration_bonus_c0.25,1111,0.008157693650170193,5.2048463266577035e-06
stochastic_exploration_bonus_c0.25,1212,0.013113478573634344,8.17728028240947e-06
stochastic_exploration_bonus_c0.25,1313,0.024703429979720522,1.468817422405279e-05
stochastic_exploration_bonus_c0.25,1414,0.0164320430651292,1.0890541488021472e-05
stochastic_exploration_bonus_c0.25,1515,0.0131025326028566,8.276003925940658e-06
stochastic_exploration_bonus_c0.25,1616,0.013728776764193658,8.309877396493965e-06
stochastic_exploration_bonus_c0.25,1717,0.006898643493202897,4.162943125257709e-06
stochastic_exploration_bonus_c0.25,1818,0.014578245296878664,8.934371642811426e-06
stochastic_exploration_bonus_c0.25,1919,0.02024512621949143,1.128208585266109e-05
stochastic_exploration_bonus_c0.25,2020,0.011098504781681949,6.349657900923367e-06
stochastic_exploration_bonus_c0.25,2121,0.018124101567846586,1.076334845254806e-05
stochastic_exploration_bonus_c0.25,2222,0.0063431137679393,3.7315543748373364e-06
stochastic_exploration_bonus_c0.25,2323,0.010598747498173251,6.8931052230994375e-06
stochastic_exploration_bonus_c0.25,2424,0.018845694625053235,1.1206901274962542e-05
stochastic_exploration_bonus_c0.25,2525,0.007508972020551019,4.657510245580025e-06
stochastic_exploration_bonus_c0.25,2626,0.013909448549851464,8.129014685547264e-06
stochastic_exploration_bonus_c0.25,2727,0.012773423498420757,7.464256662550747e-06
stochastic_exploration_bonus_c0.25,2828,0.013483140679604344,9.184991397552081e-06
stochastic_exploration_bonus_c0.25,2929,0.019420265205455155,1.0872013793791456e-05
stochastic_exploration_bonus_c0.25,3030,0.014873206011725756,8.49584661611743e-06
stochastic_exploration_bonus_c0.5,101,0.00719232210750184,4.045461370613382e-06
stochastic_exploration_bonus_c0.5,202,0.01144397362598055,6.653868554893249e-06
stochastic_exploration_bonus_c0.5,303,0.010066511996639686,6.025233816115193e-06
stochastic_exploration_bonus_c0.5,404,0.010267510221955043,6.794860161705173e-06
stochastic_exploration_bonus_c0.5,505,0.020202821377639013,1.2394893953682787e-05
stochastic_exploration_bonus_c0.5,606,0.012571005328128671,7.893339642412262e-06
stochastic_exploration_bonus_c0.5,707,0.0159490373512738,9.545451911406433e-06
stochastic_exploration_bonus_c0.5,808,0.009633437644966837,5.558908839179393e-06
stochastic_exploration_bonus_c0.5,909,0.01164930263378608,6.791247398321518e-06
