reveal_seed,budget,max_loo_terms_per_step,step_name,exact_loo_fragility,approx_loo_fragility,absolute_error,relative_absolute_error,exact_rank,approx_rank,n_revealed,exact_n_loo_terms_used,approx_n_loo_terms_used,exact_n_loo_terms_available,approx_n_loo_terms_available,approx_loo_subsampled
101,720,10,T1498.002 - Impact: Reflection/Amplification Attack,0.00010161419073332833,0.00010677617732564101,5.161986592312675e-06,0.05079985880180554,7.0,5.0,80,80,10,80,80,True
101,720,10,T1571 - Defense Evasion: Non-Standard Port,0.00010441712063680617,9.702961225055257e-05,7.387508386253602e-06,0.07074997156069439,4.0,7.0,80,80,10,80,80,True
101,720,10,T1583.005 - Resource Development: Acquire Botnet,9.730880475808387e-05,9.833025004297232e-05,1.0214452848884457e-06,0.0104969460567405,8.0,6.0,80,80,10,80,80,True
101,720,10,T1584.005 - Resource Development: Build/Compromise Botnet,0.00010856454436588195,0.00011988629806028999,1.1321753694408041e-05,0.10428592185645603,2.0,2.0,80,80,10,80,80,True
101,720,10,T1590 - Reconnaissance: Gather Victim Network Information,0.00010483261578798624,0.00010846455946994418,3.631943681957941e-06,0.03464516858625397,3.0,4.0,80,80,10,80,80,True
101,720,10,T1595 - Reconnaissance: Active Scanning,0.00010238615581053489,0.00011059179622466117,8.205640414126277e-06,0.08014404163358507,5.0,3.0,80,80,10,80,80,True
101,720,10,TA0011 - Command-and-Control,9.432485865119869e-05,9.277665507079781e-05,1.548203580400875e-06,0.0164135264672106,9.0,8.0,80,80,10,80,80,True
101,720,20,T1036 - Defense Evasion: Masquerading,0.0001148055049432768,0.00011774466482002266,2.939159876745855e-06,0.025601210086544438,1.0,1.0,80,80,20,80,80,True
101,720,20,T1498.001 - Impact: Direct Network Flood,0.00010187911167492169,9.188477580825816e-05,9.994335866663528e-06,0.09809995007076372,6.0,9.0,80,80,20,80,80,True
101,720,20,T1498.002 - Impact: Reflection/Amplification Attack,0.00010161419073332833,0.0001116976893174412,1.008349858411287e-05,0.0992331721790943,7.0,3.0,80,80,20,80,80,True
101,720,20,T1571 - Defense Evasion: Non-Standard Port,0.00010441712063680617,0.00010641551665750036,1.9983960206941873e-06,0.019138585601365297,4.0,5.0,80,80,20,80,80,True
101,720,20,T1583.005 - Resource Development: Acquire Botnet,9.730880475808387e-05,9.859809747961843e-05,1.2892927215345598e-06,0.01324949691336082,8.0,8.0,80,80,20,80,80,True
101,720,20,T1584.005 - Resource Development: Build/Compromise Botnet,0.00010856454436588195,0.00011301566006325533,4.451115697373382e-06,0.04099971756315403,2.0,2.0,80,80,20,80,80,True
101,720,20,T1590 - Reconnaissance: Gather Victim Network Information,0.00010483261578798624,0.00010827658782945536,3.4439720414691267e-06,0.0328521041159759,3.0,4.0,80,80,20,80,80,True
101,720,20,T1595 - Reconnaissance: Active Scanning,0.00010238615581053489,0.00010590061097204748,3.5144551615125865e-06,0.03432549156050529,5.0,6.0,80,80,20,80,80,True
101,720,20,TA0011 - Command-and-Control,9.432485865119869e-05,0.00010270838755498553,8.383528903786847e-06,0.08887931489946625,9.0,7.0,80,80,20,80,80,True
202,45,10,T1036 - Defense Evasion: Masquerading,0.00013431339655681858,0.00013431339655681858,0.0,0.0,2.0,2.0,5,5,5,5,5,False
202,45,10,T1498.001 - Impact: Direct Network Flood,5.177676842444551e-05,5.177676842444551e-05,0.0,0.0,8.0,8.0,5,5,5,5,5,False
202,45,10,T1498.002 - Impact: Reflection/Amplification Attack,9.226604387076154e-05,9.226604387076154e-05,0.0,0.0,4.0,4.0,5,5,5,5,5,False
202,45,10,T1571 - Defense Evasion: Non-Standard Port,0.00013991767668690574,0.00013991767668690574,0.0,0.0,1.0,1.0,5,5,5,5,5,False
202,45,10,T1583.005 - Resource Development: Acquire Botnet,4.276430773117053e-05,4.276430773117053e-05,0.0,0.0,9.0,9.0,5,5,5,5,5,False
202,45,10,T1584.005 - Resource Development: Build/Compromise Botnet,9.669233557868945e-05,9.669233557868945e-05,0.0,0.0,3.0,3.0,5,5,5,5,5,False
202,45,10,T1590 - Reconnaissance: Gather Victim Network Information,7.738494671600248e-05,7.738494671600248e-05,0.0,0.0,5.0,5.0,5,5,5,5,5,False
202,45,10,T1595 - Reconnaissance: Active Scanning,7.430898211079909e-05,7.430898211079909e-05,0.0,0.0,6.0,6.0,5,5,5,5,5,False
202,45,10,TA0011 - Command-and-Control,7.30710083544804e-05,7.30710083544804e-05,0.0,0.0,7.0,7.0,5,5,5,5,5,False
202,45,20,T1036 - Defense Evasion: Masquerading,0.00013431339655681858,0.00013431339655681858,0.0,0.0,2.0,2.0,5,5,5,5,5,False
202,45,20,T1498.001 - Impact: Direct Network Flood,5.177676842444551e-05,5.177676842444551e-05,0.0,0.0,8.0,8.0,5,5,5,5,5,False
202,45,20,T1498.002 - Impact: Reflection/Amplification Attack,9.226604387076154e-05,9.226604387076154e-05,0.0,0.0,4.0,4.0,5,5,5,5,5,False
202,45,20,T1571 - Defense Evasion: Non-Standard Port,0.00013991767668690574,0.00013991767668690574,0.0,0.0,1.0,1.0,5,5,5,5,5,False
202,45,20,T1583.005 - Resource Development: Acquire Botnet,4.276430773117053e-05,4.276430773117053e-05,0.0,0.0,9.0,9.0,5,5,5,5,5,False
202,45,20,T1584.005 - Resource Development: Build/Compromise Botnet,9.669233557868945e-05,9.669233557868945e-05,0.0,0.0,3.0,3.0,5,5,5,5,5,False
202,45,20,T1590 - Reconnaissance: Gather Victim Network Information,7.738494671600248e-05,7.738494671600248e-05,0.0,0.0,5.0,5.0,5,5,5,5,5,False
202,45,20,T1595 - Reconnaissance: Active Scanning,7.430898211079909e-05,7.430898211079909e-05,0.0,0.0,6.0,6.0,5,5,5,5,5,False
202,45,20,TA0011 - Command-and-Control,7.30710083544804e-05,7.30710083544804e-05,0.0,0.0,7.0,7.0,5,5,5,5,5,False
202,180,10,T1036 - Defense Evasion: Masquerading,5.141070717348394e-05,5.383613622208101e-05,2.42542904859707e-06,0.04717750707522896,7.0,5.0,20,20,10,20,20,True
202,180,10,T1498.001 - Impact: Direct Network Flood,5.434986424781016e-05,4.704224349283528e-05,7.307620754974885e-06,0.13445517705803917,2.0,8.0,20,20,10,20,20,True
202,180,10,T1498.002 - Impact: Reflection/Amplification Attack,5.9787953123151715e-05,6.974327384360893e-05,9.95532072045722e-06,0.166510476340287,1.0,1.0,20,20,10,20,20,True
202,180,10,T1571 - Defense Evasion: Non-Standard Port,4.919116386365903e-05,5.8108197631010535e-05,8.917033767351507e-06,0.18127307601002038,8.0,3.0,20,20,10,20,20,True
202,180,10,T1583.005 - Resource Development: Acquire Botnet,5.2133639833021754e-05,5.65906658203034e-05,4.457025987281644e-06,0.08549232158093469,5.0,4.0,20,20,10,20,20,True
202,180,10,T1584.005 - Resource Development: Build/Compromise Botnet,5.213862259895425e-05,4.787849945976252e-05,4.260123139191731e-06,0.08170762565502739,4.0,7.0,20,20,10,20,20,True
