c,average_auc,median_auc,win_fraction_vs_uniform,mean_l1_imbalance_at_1200,mean_max_min_ratio_at_1200,min_step_count_at_1200_mean,max_step_count_at_1200_mean
0.25,0.0303842093131258,0.0270584422050313,0.3666666666666666,616.0,34.0,6.6,200.0
0.5,0.0274357200972045,0.0275059724080555,0.4666666666666667,594.8,23.29100529100529,14.6,200.0
1.0,0.0210990870514759,0.015228887540521,0.4666666666666667,537.2,5.881562881562882,35.6,200.0
